ForceDecks Raw Data Export,2,,,,,,,,,,,,,,,,,,,,
Weight,93.7,,,,,,,,,,,,,,,,,,,,
Frequency,1000,,,,,,,,,,,,,,,,,,,,
Recording Date,2022-09-02 10:33:20,,,,,,,,,,,,,,,,,,,,
Recording Info,ForceDecks;2.0.8000,,,,,,,,,,,,,,,,,,,,
Data Source,"ForceDecks;FD42-211122-FW2R5-HW3R8,0380 (Post-analysis Trial 1)",,,,,,,,,,,,,,,,,,,,
Analysis Date,2022-09-02 10:35:17,,,,,,,,,,,,,,,,,,,,
AthleteId,6739cb8a-1291-4d6c-80db-1555b94c1a42,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right,,Acceleration,Velocity,Height,Power,Impulse
45.713,487.013093,25.029154,-55.994472,435.190094,-3.781682,-20.037227,,203.172431,-1.87957,286.566947,-0.846714,61.276309,142.820282,69.214797,161.878706,,0,0,0,0,0
45.714,484.513093,24.089185,-58.949988,436.190094,-2.415806,-19.250787,,201.422431,-3.37957,285.066947,1.403286,61.026309,144.070282,70.464797,160.628706,,0,0,0,0,0
45.715,482.763093,25.019571,-58.661881,437.190094,-2.41028,-18.837349,,200.172431,-2.62957,284.816947,0.403286,61.776309,144.070282,70.964797,160.378706,,0,0,0,0,0
45.716,482.513093,25.109216,-58.190216,435.190094,-1.911235,-19.666125,,200.172431,-2.37957,284.566947,0.153286,61.026309,143.320282,71.464797,159.378706,,0,0,0,0,0
45.717,482.513093,25.109216,-58.190216,433.690094,-3.96539,-19.734144,,199.922431,-2.12957,284.316947,0.403286,62.276309,141.320282,69.714797,160.378706,,0,0,0,0,0
45.718,484.763093,24.458392,-58.419858,436.940094,-2.496339,-19.032935,,200.922431,-2.37957,284.816947,1.403286,61.526309,144.070282,70.714797,160.628706,,0,0,0,0,0
45.719,483.513093,25.210332,-57.40184,434.440094,-3.362375,-19.514204,,200.922431,-2.12957,285.066947,-0.346714,61.526309,142.570282,69.714797,160.628706,,0,0,0,0,0
45.72,485.013093,25.132364,-57.890274,437.190094,-2.579543,-18.09854,,201.422431,-2.37957,286.066947,-0.096714,62.026309,144.320282,70.464797,160.378706,,0,0,0,0,0
45.721,485.263093,25.348158,-58.359664,436.690094,-2.582496,-18.858918,,201.422431,-2.62957,286.816947,-0.346714,61.526309,144.070282,70.464797,160.628706,,0,0,0,0,0
45.722,490.013093,25.026935,-58.288322,438.440094,-2.656578,-17.494414,,202.422431,-1.62957,288.066947,1.153286,62.776309,144.570282,70.714797,160.378706,,0,0,0,0,0
